type,annotations.pid,annotations.source,from,to,annotations.time,annotations.operation,annotations.flags,annotations.protection,annotations.advice,annotations.mode
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,0eb86457ed32ec3ce60378f1c301a9f8,1679540190.924,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,0eb86457ed32ec3ce60378f1c301a9f8,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,0eb86457ed32ec3ce60378f1c301a9f8,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,0eb86457ed32ec3ce60378f1c301a9f8,1679540190.924,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,818193695e605ce0b1a4124363562122,1679540190.924,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,818193695e605ce0b1a4124363562122,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,818193695e605ce0b1a4124363562122,1679540190.924,mmap (read),,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,818193695e605ce0b1a4124363562122,1679540190.924,close,,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,06cf4a9f3a37ea26a84a54662cde804b,1679540190.928,open,O_RDONLY,,,
Used,,syscall,13c578a0b1e8f6992c36259ddd2d00f5,9b3a95bc82b0239cf9878d0ca894dc31,1679540190.928,open,O_RDONLY,,,
